RegionID,SizeRank,RegionName,RegionType,StateName,1/31/2018,2/28/2018,3/31/2018,4/30/2018,5/31/2018,6/30/2018,7/31/2018,8/31/2018,9/30/2018,10/31/2018,11/30/2018,12/31/2018,1/31/2019,2/28/2019,3/31/2019,4/30/2019,5/31/2019,6/30/2019,7/31/2019,8/31/2019,9/30/2019,10/31/2019,11/30/2019,12/31/2019,1/31/2020,2/29/2020,3/31/2020,4/30/2020,5/31/2020,6/30/2020,7/31/2020,8/31/2020,9/30/2020,10/31/2020,11/30/2020,12/31/2020,1/31/2021,2/28/2021,3/31/2021,4/30/2021,5/31/2021,6/30/2021,7/31/2021,8/31/2021,9/30/2021
395057,11,"San Francisco, CA",Msa,CA,807667,824333,857667,899667,924667,937963,921296,880629,850667,842329,837996,819996,799667,803000,831000,867629,900963,907929,904633,885967,885667,889000,895667,879000,862500,874500,899833,916333,924667,949000,982333,998333,998667,998683,998977,995643,991960,988667,988627,991855,993855,995895,980000,956667,931333
394532,12,"Detroit, MI",Msa,MI,219933,218267,224933,238633,253633,263333,264633,259600,251600,244633,237967,231267,226567,226567,233266,246600,259933,269900,271267,267633,258667,248967,239300,231633,225830,224130,228297,234130,245797,261597,278233,286567,283233,277933,271300,264667,259967,261600,270597,283630,293630,299300,294633,284633,268300
395025,13,"Riverside, CA",Msa,CA,390632,393300,396633,402666,406633,409966,409633,406333,402999,399966,399633,398600,398300,398600,402967,408300,415000,419967,423267,423267,419967,416667,415000,414817,415117,418450,423300,426333,428000,434667,446800,461800,472133,480000,485000,490000,491633,493300,494933,506633,519967,533333,541333,546300,549630
394976,14,"Phoenix, AZ",Msa,AZ,339135,345082,353442,358846,361735,360171,356807,351692,348294,346255,345932,345932,347937,350656,354088,358540,362924,366323,366968,368022,369721,371454,373830,377194,383278,390044,396535,392117,387053,385974,396169,404665,407784,407816,407647,407647,408372,409269,414997,424967,438300,449967,459997,466748,471748
395078,15,"Seattle, WA",Msa,WA,508300,528150,558150,583117,596600,599600,592933,581283,568300,564667,562317,562300,564300,578300,601650,626650,643000,645997,638330,626997,618983,616633,618267,621617,631617,648300,664967,664967,661650,661650,670000,673000,664667,654667,643167,639817,641483,654980,668313,684963,693300,699983,699833,693166,689817
394865,16,"Minneapolis-St Paul, MN",Msa,MN,354455,371734,387317,392961,391230,383300,374643,367406,359787,355978,351096,351061,356567,368721,384304,392961,394693,387802,382365,373708,368479,361796,361363,361398,368358,379144,389498,392961,392823,392823,394519,392927,386036,377396,368773,368739,370826,378927,386963,391930,391797,387433,383800,377933,371300
395056,17,"San Diego, CA",Msa,CA,704663,721330,735997,749333,749633,749633,742633,725967,706267,689933,681633,676667,676333,681329,692996,713163,732833,745833,746000,746000,746000,745667,742633,742633,745967,755667,769333,769633,769633,781267,814600,837933,835967,822667,809333,808000,813000,830000,841667,856333,856333,856000,849333,846000,842666
395121,18,"St. Louis, MO",Msa,MO,190800,191267,196567,204933,213267,218267,219725,219425,219125,217667,214667,209967,206300,207933,216133,227800,237800,242967,243887,242220,240520,238233,234900,229933,228300,231633,237632,242798,249128,255097,259897,259233,257433,254776,251809,246609,245300,248925,257259,264559,263267,259733,252767,247733,241300
395148,19,"Tampa, FL",Msa,FL,260148,260148,261786,265031,269883,273096,273063,270391,267178,263998,261818,259569,258975,258975,262348,267762,275505,280485,282060,280774,279457,279135,277529,275634,273063,273060,274342,274053,275647,279184,286895,293337,298124,302943,304228,302975,300484,299566,304933,314933,331600,346600,359900,368267,373300
394358,20,"Baltimore, MD",Msa,MD,303233,299900,304933,313300,326633,337967,345967,345967,341485,335151,328518,320000,313333,311667,316667,327699,339366,347699,350000,349967,346600,341600,334633,327967,322933,323233,329933,339443,347810,356143,363008,364675,361342,355000,348300,339967,331633,331633,338300,346633,355000,358300,361600,356567,351600
394530,21,"Denver, CO",Msa,CO,,,,,,,,,494667,487667,481000,477667,481333,492667,508000,519667,523872,522205,517205,509967,502967,497967,497967,501300,512133,528800,542467,545800,542500,542500,548333,551667,545633,534528,526161,528525,536297,549663,563167,580467,597133,612300,621333,623000,623000
394982,22,"Pittsburgh, PA",Msa,PA,171567,169900,173233,177267,183133,184833,184166,181633,179933,178267,175933,172633,170933,170966,175300,181967,189300,194933,198267,199600,198967,195633,190967,184967,183300,185933,192567,197567,204900,214900,227597,234263,234297,233133,231467,229800,227967,229300,233633,240600,245933,246567,239600,229633,222967
394998,23,"Portland, OR",Msa,OR,462509,468952,475399,481813,483428,483428,480204,473726,465667,459221,455998,454386,456014,459253,465700,470551,473790,473822,472178,468923,464088,459285,456094,456094,459317,467376,473822,473806,473806,475418,485104,489616,493803,497027,505375,514371,521761,524347,533300,549967,573300,588333,593000,586333,579667
394458,24,"Charlotte, NC",Msa,NC,337967,338000,343000,349666,356266,358600,355583,349028,342028,335378,330568,326868,325202,328300,335000,343333,351633,356133,356133,352167,346967,344300,341633,342167,343000,346333,351167,352967,357633,362967,374167,379598,381646,378813,377048,375000,374997,377120,383787,395457,408330,415330,415330,408667,405333
